Month,Passengers,t,log_pass,t_squared
Jan-95,112,1,2.049218023,1
Feb-95,118,2,2.071882007,4
Mar-95,132,3,2.120573931,9
Apr-95,129,4,2.11058971,16
May-95,121,5,2.08278537,25
Jun-95,135,6,2.130333768,36
Jul-95,148,7,2.170261715,49
Aug-95,148,8,2.170261715,64
Sep-95,136,9,2.133538908,81
Oct-95,119,10,2.075546961,100
Nov-95,104,11,2.017033339,121
Dec-95,118,12,2.071882007,144
Jan-96,115,1,2.06069784,1
Feb-96,126,2,2.100370545,4
Mar-96,141,3,2.149219113,9
Apr-96,135,4,2.130333768,16
May-96,125,5,2.096910013,25
Jun-96,149,6,2.173186268,36
Jul-96,170,7,2.230448921,49
Aug-96,170,8,2.230448921,64
Sep-96,158,9,2.198657087,81
Oct-96,133,10,2.123851641,100
Nov-96,114,11,2.056904851,121
Dec-96,140,12,2.146128036,144
Jan-97,145,1,2.161368002,1
Feb-97,150,2,2.176091259,4
Mar-97,178,3,2.250420002,9
Apr-97,163,4,2.212187604,16
May-97,172,5,2.235528447,25
Jun-97,178,6,2.250420002,36
Jul-97,199,7,2.298853076,49
Aug-97,199,8,2.298853076,64
Sep-97,184,9,2.264817823,81
Oct-97,162,10,2.209515015,100
Nov-97,146,11,2.164352856,121
Dec-97,166,12,2.220108088,144
Jan-98,171,1,2.23299611,1
Feb-98,180,2,2.255272505,4
Mar-98,193,3,2.285557309,9
Apr-98,181,4,2.257678575,16
May-98,183,5,2.26245109,25
Jun-98,218,6,2.338456494,36
Jul-98,230,7,2.361727836,49
Aug-98,242,8,2.383815366,64
Sep-98,209,9,2.320146286,81
Oct-98,191,10,2.281033367,100
Nov-98,172,11,2.235528447,121
Dec-98,194,12,2.28780173,144
Jan-99,196,1,2.292256071,1
Feb-99,196,2,2.292256071,4
Mar-99,236,3,2.372912003,9
Apr-99,235,4,2.371067862,16
May-99,229,5,2.359835482,25
Jun-99,243,6,2.385606274,36
Jul-99,264,7,2.421603927,49
Aug-99,272,8,2.434568904,64
Sep-99,237,9,2.374748346,81
Oct-99,211,10,2.324282455,100
Nov-99,180,11,2.255272505,121
Dec-99,201,12,2.303196057,144
Jan-00,204,1,2.309630167,1
Feb-00,188,2,2.274157849,4
Mar-00,235,3,2.371067862,9
Apr-00,227,4,2.356025857,16
May-00,234,5,2.369215857,25
Jun-00,264,6,2.421603927,36
Jul-00,302,7,2.480006943,49
Aug-00,293,8,2.46686762,64
Sep-00,259,9,2.413299764,81
Oct-00,229,10,2.359835482,100
Nov-00,203,11,2.307496038,121
Dec-00,229,12,2.359835482,144
Jan-01,242,1,2.383815366,1
Feb-01,233,2,2.367355921,4
Mar-01,267,3,2.426511261,9
Apr-01,269,4,2.42975228,16
May-01,270,5,2.431363764,25
Jun-01,315,6,2.498310554,36
Jul-01,364,7,2.561101384,49
Aug-01,347,8,2.540329475,64
Sep-01,312,9,2.494154594,81
Oct-01,274,10,2.437750563,100
Nov-01,237,11,2.374748346,121
Dec-01,278,12,2.444044796,144
Jan-02,284,1,2.45331834,1
Feb-02,277,2,2.442479769,4
Mar-02,317,3,2.501059262,9
Apr-02,313,4,2.495544338,16
May-02,318,5,2.50242712,25
Jun-02,374,6,2.572871602,36
Jul-02,413,7,2.615950052,49
Aug-02,405,8,2.607455023,64
Sep-02,355,9,2.550228353,81
Oct-02,306,10,2.485721426,100
Nov-02,271,11,2.432969291,121
Dec-02,306,12,2.485721426,144
