Quarter,Sales,log_coke,t,t_squared,Quarter,year,Quarter,
Q1_86,1734.827,3.239256173,1,1,Q1,86,Q1,
Q2_86,2244.960999,3.3512088,2,4,Q2,86,Q2,
Q3_86,2533.804993,3.403773188,3,9,Q3,86,Q3,
Q4_86,2154.962997,3.333439817,4,16,Q4,86,Q4,
Q1_87,1547.818996,3.189720172,1,1,Q1,87,Q1,
Q2_87,2104.411995,3.323130769,2,4,Q2,87,Q2,
Q3_87,2014.362999,3.304137735,3,9,Q3,87,Q3,
Q4_87,1991.746998,3.299234171,4,16,Q4,87,Q4,
Q1_88,1869.049999,3.271620919,1,1,Q1,88,Q1,
Q2_88,2313.631996,3.364294282,2,4,Q2,88,Q2,
Q3_88,2128.32,3.328036926,3,9,Q3,88,Q3,
Q4_88,2026.828999,3.306817109,4,16,Q4,88,Q4,
Q1_89,1910.603996,3.281170682,1,1,Q1,89,Q1,
Q2_89,2331.164993,3.367573013,2,4,Q2,89,Q2,
Q3_89,2206.549995,3.343713772,3,9,Q3,89,Q3,
Q4_89,2173.967995,3.337253146,4,16,Q4,89,Q4,
Q1_90,2148.278,3.332090481,1,1,Q1,90,Q1,
Q2_90,2739.307999,3.437640866,2,4,Q2,90,Q2,
Q3_90,2792.753998,3.446032682,3,9,Q3,90,Q3,
Q4_90,2556.009995,3.407562548,4,16,Q4,90,Q4,
Q1_91,2480.973999,3.394622213,1,1,Q1,91,Q1,
Q2_91,3039.522995,3.482805433,2,4,Q2,91,Q2,
Q3_91,3172.115997,3.50134906,3,9,Q3,91,Q3,
Q4_91,2879.000999,3.459241816,4,16,Q4,91,Q4,
Q1_92,2772,3.442793226,1,1,Q1,92,Q1,
Q2_92,3550,3.550228353,2,4,Q2,92,Q2,
Q3_92,3508,3.545059585,3,9,Q3,92,Q3,
Q4_92,3243.859993,3.511062102,4,16,Q4,92,Q4,
Q1_93,3056,3.48515335,1,1,Q1,93,Q1,
Q2_93,3899,3.590953235,2,4,Q2,93,Q2,
Q3_93,3629,3.559786968,3,9,Q3,93,Q3,
Q4_93,3373,3.528016341,4,16,Q4,93,Q4,
Q1_94,3352,3.52530401,1,1,Q1,94,Q1,
Q2_94,4342,3.637689819,2,4,Q2,94,Q2,
Q3_94,4461,3.649432223,3,9,Q3,94,Q3,
Q4_94,4017,3.603901832,4,16,Q4,94,Q4,
Q1_95,3854,3.58591171,1,1,Q1,95,Q1,
Q2_95,4936,3.693375151,2,4,Q2,95,Q2,
Q3_95,4895,3.689752696,3,9,Q3,95,Q3,
Q4_95,4333,3.636788689,4,16,Q4,95,Q4,
Q1_96,4194,3.622628426,1,1,Q1,96,Q1,
Q2_96,5253,3.720407401,2,4,Q2,96,Q2,
